Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 1000


TailleGrille,EquipeGagnante,Note,TempsMoyen,NbMoyenTours
225,Match Nul,5,2
225,Match Nul,7,2
225,Match Nul,15,2
225,Match Nul,4,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,15,2
225,Match Nul,8,2
225,Match Nul,5,2
225,Match Nul,5,2
225,Match Nul,6,2
225,Match Nul,28,2
225,Match Nul,5,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,5,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,19,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,23,2
225,Match Nul,15,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,6,2
225,Match Nul,14,2
225,Match Nul,17,2
225,Match Nul,41,2
225,Match Nul,23,2
225,Match Nul,35,2
225,Match Nul,22,2
225,Match Nul,22,2
225,Match Nul,14,2
225,Match Nul,10,2
225,Match Nul,14,2
225,Match Nul,16,2
225,Match Nul,12,2
225,Match Nul,10,2
225,Match Nul,18,2
225,Match Nul,6,2
225,Match Nul,16,2
225,Match Nul,12,2
225,Match Nul,69,2
225,Match Nul,12,2
225,Match Nul,35,2
225,Match Nul,16,2
225,Match Nul,50,2
225,Match Nul,26,2
225,Match Nul,17,2
225,Match Nul,19,2
225,Match Nul,18,2
225,Match Nul,56,2
225,Match Nul,38,2
225,Match Nul,40,2
225,Match Nul,33,2
225,Match Nul,21,2
225,Match Nul,24,2
225,Match Nul,22,2
225,Match Nul,21,2
225,Match Nul,7,2
225,Match Nul,13,2
225,Match Nul,6,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,13,2
225,Match Nul,14,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,18,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,12,2
225,Match Nul,18,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,4,2
225,Match Nul,14,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,13,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,9,2
225,Match Nul,29,2
225,Match Nul,8,2
225,Match Nul,18,2
225,Match Nul,11,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,8,2
225,Match Nul,16,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,19,2
225,Match Nul,9,2
225,Match Nul,18,2
225,Match Nul,9,2
225,Match Nul,12,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,4,2
225,Match Nul,16,2
225,Match Nul,17,2
225,Match Nul,11,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,12,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,12,2
225,Match Nul,5,2
225,Match Nul,6,2
225,Match Nul,5,2
225,Match Nul,12,2
225,Match Nul,10,2
225,Match Nul,16,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,13,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,18,2
225,Match Nul,11,2
225,Match Nul,10,2
225,Match Nul,11,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,14,2
225,Match Nul,9,2
225,Match Nul,17,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,14,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,20,2
225,Match Nul,5,2
225,Match Nul,5,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,16,2
225,Match Nul,5,2
225,Match Nul,6,2
225,Match Nul,6,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,5,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,8,2
225,Match Nul,18,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,12,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,5,2
225,Match Nul,4,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,16,2
225,Match Nul,9,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,5,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,8,2
225,Match Nul,16,2
225,Match Nul,7,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,17,2
225,Match Nul,5,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,11,2
225,Match Nul,6,2
225,Match Nul,15,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,15,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,13,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,7,2
225,Match Nul,10,2
225,Match Nul,15,2
225,Match Nul,10,2
225,Match Nul,7,2
225,Match Nul,10,2
225,Match Nul,30,2
225,Match Nul,10,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,5,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,17,2
225,Match Nul,13,2
225,Match Nul,7,2
225,Match Nul,11,2
225,Match Nul,2,2
225,Match Nul,9,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,12,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,14,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,9,2
225,Match Nul,11,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,14,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,10,2
225,Match Nul,51,2
225,Match Nul,8,2
225,Match Nul,10,2
225,Match Nul,5,2
225,Match Nul,8,2
225,Match Nul,12,2
225,Match Nul,4,2
225,Match Nul,6,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,5,2
225,Match Nul,11,2
225,Match Nul,10,2
225,Match Nul,11,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,10,2
225,Match Nul,8,2
225,Match Nul,5,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,10,2
225,Match Nul,5,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,4,2
225,Match Nul,10,2
225,Match Nul,6,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,14,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,11,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,8,2
225,Match Nul,17,2
225,Match Nul,11,2
225,Match Nul,10,2
225,Match Nul,4,2
225,Match Nul,8,2
225,Match Nul,7,2
225,Match Nul,6,2
225,Match Nul,10,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,10,2
225,Match Nul,23,2
225,Match Nul,8,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,6,2
225,Match Nul,4,2
225,Match Nul,6,2
225,Match Nul,9,2
225,Match Nul,7,2
225,Match Nul,16,2
225,Match Nul,7,2
225,Match Nul,7,2
225,Match Nul,8,2
225,Match Nul,4,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,10,2
225,Match Nul,15,2
225,Match Nul,7,2
225,Match Nul,9,2
225,Match Nul,8,2
225,Match Nul,9,2
225,Match Nul,6,2
225,Match Nul,4,2
225,Match Nul,21,2
225,Match Nul,7,2
225,Match Nul,14,2
225,Match Nul,13,2
225,Match Nul,18,2
225,Match Nul,14,2
