# EXPÉRIENCES DUEL - jeu. 26 mars 2026 12:32:11 CET
# Plateau: 20 30 50, Profondeurs: 3 6 9
# Stratégies: AlphaBetaStrategie MaxNStrategie ParanoidStrategie SOSStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic TreeOfChambersHeuristic
# Parties par config: 50


# CONFIG: P20_D3_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MaxNStrategie_FreeSpaceHeuristic
# Plateau: 20x20, Profondeur: 3
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MaxNStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
400,Equipe_1,632,11
400,Equipe_1,567,7
400,Equipe_1,609,11
400,Equipe_3,596,9
400,Equipe_1,507,14
400,Equipe_3,423,11
400,Equipe_1,357,7
400,Equipe_3,479,12
400,Equipe_1,472,11
400,Equipe_1,462,6
400,Match Nul,725,13
400,Equipe_1,524,7
400,Equipe_3,525,10
400,Equipe_1,659,10
400,Equipe_1,502,12
400,Match Nul,541,11
400,Equipe_3,514,10
400,Equipe_1,638,14
400,Equipe_1,544,9
400,Match Nul,610,11
400,Equipe_3,656,13
400,Equipe_3,570,9
400,Equipe_3,563,11
400,Equipe_1,524,11
400,Equipe_3,495,12
400,Equipe_1,413,4
400,Equipe_1,403,6
400,Equipe_1,536,7
400,Equipe_1,490,5
400,Equipe_1,629,14
400,Equipe_1,471,4
400,Equipe_1,616,12
400,Equipe_3,502,5
400,Equipe_1,353,6
400,Equipe_3,472,5
400,Equipe_3,390,8
400,Equipe_1,333,7
400,Equipe_3,342,16
400,Equipe_1,301,9

# CONFIG: P20_D3_AlphaBetaStrategie_VoronoiHeuristic_VS_MaxNStrategie_VoronoiHeuristic
# Plateau: 20x20, Profondeur: 3
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MaxNStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
400,Equipe_1,1692,9
400,Equipe_3,1710,10
400,Equipe_1,1632,7
400,Equipe_1,1557,10
400,Equipe_1,1914,13
400,Equipe_1,2436,15
400,Equipe_3,2020,15
400,Equipe_1,1854,11
400,Equipe_1,1055,10
400,Equipe_3,920,11
400,Equipe_3,862,9
400,Equipe_1,881,9
400,Equipe_3,805,10
400,Equipe_3,864,7
400,Equipe_3,1178,13
400,Equipe_3,1008,18
400,Equipe_1,695,8
400,Equipe_1,733,13
400,Match Nul,1432,10
400,Match Nul,1206,12
400,Equipe_4,990,10
400,Equipe_1,1001,17
400,Equipe_1,720,4
400,Equipe_1,740,8
400,Equipe_1,717,9
400,Equipe_3,1263,8
400,Equipe_1,1487,17
400,Equipe_3,786,9
400,Equipe_1,897,6
400,Equipe_1,850,6
400,Equipe_3,1243,12
400,Equipe_1,1322,11
400,Equipe_3,1494,14
400,Equipe_3,1389,9
400,Equipe_4,1538,10
400,Equipe_3,874,8
400,Equipe_1,875,8
400,Equipe_1,1243,9
400,Equipe_1,1118,8
400,Equipe_1,1416,12
400,Equipe_3,908,10
400,Match Nul,1662,14
400,Equipe_3,807,6
400,Equipe_1,988,8
400,Match Nul,1046,15
400,Equipe_3,838,9
400,Equipe_3,770,7
400,Equipe_1,787,10
400,Equipe_1,859,10
400,Match Nul,639,10
