Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 2

Parties,T1,T2,Conf %
NbParties,ABS|FSH,ABS|TOC,
2,0.0%,50.0%,±69.30%
100,Equipe_1,115,2
100,Equipe_1,189,2
100,Equipe_1,307,3
100,Equipe_2,439,4
100,Match Nul,313,2
100,Equipe_2,218,2
100,Match Nul,335,2
100,Equipe_1,266,2
100,Equipe_1,364,2
100,Equipe_2,284,2
100,Match Nul,288,3
100,Equipe_1,340,2
100,Equipe_2,209,3
100,Equipe_2,776,2
100,Match Nul,344,2
100,Equipe_2,283,2
100,Match Nul,276,2
100,Equipe_2,424,3
100,Equipe_2,306,2
100,Match Nul,315,3
100,Equipe_2,220,2
100,Equipe_2,308,2
100,Equipe_2,150,2
100,Equipe_2,145,2
100,Equipe_2,209,2
100,Equipe_1,306,2
100,Equipe_2,262,2
100,Match Nul,304,3
100,Equipe_1,456,2
100,Equipe_2,344,2
100,Equipe_1,274,2
100,Equipe_2,307,2
100,Equipe_1,282,2
100,Equipe_1,433,2
100,Match Nul,271,2
100,Match Nul,153,2
100,Equipe_2,183,2
100,Equipe_2,356,2
100,Equipe_1,255,2
100,Equipe_1,219,2
100,Equipe_1,403,2
100,Equipe_1,177,2
100,Equipe_2,197,2
100,Equipe_2,181,2
100,Equipe_2,214,3
100,Equipe_2,449,2
100,Equipe_2,712,2
100,Equipe_2,333,2
100,Equipe_2,443,2
100,Equipe_2,230,3
100,Match Nul,306,2
100,Equipe_1,227,2
100,Equipe_2,428,2
100,Match Nul,194,2
100,Equipe_1,443,3
100,Equipe_1,120,2
100,Equipe_2,321,2
100,Match Nul,325,2
100,Equipe_2,230,2
100,Equipe_2,405,2
100,Equipe_2,422,2
100,Equipe_1,186,2
100,Match Nul,274,3
100,Match Nul,263,2
100,Equipe_2,212,2
100,Match Nul,100,2
100,Equipe_1,360,2
100,Equipe_2,105,2
100,Match Nul,127,2
100,Match Nul,227,3
100,Match Nul,113,2
100,Equipe_2,150,2
100,Equipe_2,340,2
100,Match Nul,622,4
100,Match Nul,403,3
