# EXPÉRIENCES DUEL - mer. 25 mars 2026 10:58:35 CET
# Plateau: 12 15, Profondeurs: 3 1
# Stratégies: MinMaxStrategie AlphaBetaStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 5


# CONFIG: P12_D1_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,60,8
144,Equipe_4,58,8
144,Equipe_2,47,5
144,Equipe_2,32,3
144,Equipe_2,48,5

# CONFIG: P12_D1_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_3,53,7
144,Equipe_1,44,5
144,Equipe_1,31,3
144,Equipe_3,57,8
144,Equipe_3,47,5

# CONFIG: P12_D1_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_3,59,5
144,Equipe_1,54,4
144,Equipe_3,62,5
144,Match Nul,77,9
144,Match Nul,85,11

# CONFIG: P12_D1_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Match Nul,22,2
144,Match Nul,21,2
144,Match Nul,21,2
144,Match Nul,22,2
144,Match Nul,22,2

# CONFIG: P12_D1_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_2,26,2
144,Equipe_2,43,6
144,Equipe_4,41,5
144,Equipe_2,37,4
144,Equipe_2,38,4

# CONFIG: P12_D1_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_3,56,6
144,Equipe_3,62,7
144,Equipe_3,52,5
144,Equipe_1,62,6
144,Equipe_1,64,8

# CONFIG: P12_D1_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 12x12, Profondeur: 1
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
144,Equipe_4,90,7
144,Match Nul,83,6
144,Equipe_1,54,4
144,Equipe_3,95,8
144,Equipe_2,65,4

# CONFIG: P15_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,111,2
225,Match Nul,134,2
225,Match Nul,149,2
225,Match Nul,138,2
225,Match Nul,148,2

# CONFIG: P15_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,241,10
225,Equipe_4,242,9
225,Equipe_4,225,5
225,Equipe_4,242,9
225,Equipe_4,234,6

# CONFIG: P15_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_3,285,10
225,Equipe_3,284,10
225,Equipe_3,269,6
225,Equipe_3,271,7
225,Equipe_3,271,7

# CONFIG: P15_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,238,8
225,Equipe_1,250,10
225,Equipe_1,226,4
225,Equipe_3,238,7
225,Equipe_1,250,10

# CONFIG: P15_D3_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,116,2
225,Match Nul,117,2
225,Match Nul,112,2
225,Match Nul,116,2
225,Equipe_1,113,2

# CONFIG: P15_D3_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_2,271,9
225,Equipe_4,274,8
225,Equipe_2,267,7
225,Equipe_4,274,8
225,Equipe_4,256,5

# CONFIG: P15_D3_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_3,211,4
225,Equipe_1,227,10
225,Match Nul,212,6
225,Equipe_3,206,6
225,Equipe_3,227,11

# CONFIG: P15_D3_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 3
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_4,286,12
225,Equipe_3,273,8
225,Equipe_3,283,8
225,Match Nul,302,15
225,Equipe_3,258,5

# CONFIG: P15_D1_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,30,2
225,Match Nul,29,2
225,Match Nul,31,2
225,Match Nul,32,2
225,Match Nul,32,2

# CONFIG: P15_D1_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,87,8
225,Equipe_4,75,6
225,Equipe_4,74,6
225,Equipe_4,66,6
225,Equipe_2,86,9

# CONFIG: P15_D1_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_3,95,7
225,Equipe_1,70,4
225,Equipe_3,86,6
225,Equipe_3,95,7
225,Equipe_1,96,7

# CONFIG: P15_D1_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_1,144,11
225,Equipe_3,118,6
225,Equipe_3,138,8
225,Equipe_1,109,5
225,Equipe_3,142,12

# CONFIG: P15_D1_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,33,2
225,Match Nul,34,2
225,Match Nul,33,2
225,Match Nul,32,2
225,Match Nul,34,2

# CONFIG: P15_D1_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_4,126,9
225,Equipe_2,77,5
225,Equipe_4,131,9
225,Equipe_2,131,9
225,Equipe_4,81,5

# CONFIG: P15_D1_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Equipe_1,101,9
225,Equipe_1,50,4
225,Match Nul,99,9
225,Match Nul,88,7
225,Equipe_3,80,7

# CONFIG: P15_D1_AlphaBetaStrategie_VoronoiHeuristic_VS_MinMaxStrategie_VoronoiHeuristic
# Plateau: 15x15, Profondeur: 1
# Stratégies: AlphaBetaStrategie (VoronoiHeuristic) vs MinMaxStrategie (VoronoiHeuristic)
# Parties: 5
Nombre d'Equipes = 4
Joueurs Par Equipe = 1
Profondeur IA = 1
Nombre Parties = 5


TailleGrille,EquipeGagnante,TempsMoyen,NbMoyenTours
225,Match Nul,163,10
225,Match Nul,134,8
225,Equipe_1,162,9
225,Equipe_3,169,11
225,Equipe_3,112,5
