# EXPÉRIENCES DUEL - ven. 27 mars 2026 11:27:48 CET
# Plateau: 10, Profondeurs: 3 6
# Stratégies: MinMaxStrategie AlphaBetaStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Match Nul,39,2
100,Match Nul,65,2
100,Match Nul,71,2
100,Match Nul,47,2
100,Match Nul,61,2
100,Match Nul,55,2
100,Match Nul,55,2
100,Match Nul,67,2
100,Match Nul,64,2
100,Match Nul,72,2
100,Equipe_2,51,2
100,Match Nul,37,2
100,Match Nul,42,2
100,Match Nul,25,2
100,Match Nul,61,2
100,Match Nul,58,2
100,Match Nul,61,2
100,Match Nul,67,2
100,Match Nul,23,2
100,Match Nul,53,2
100,Match Nul,47,2
100,Match Nul,40,2
100,Match Nul,34,2
100,Match Nul,32,2
100,Match Nul,25,2
100,Match Nul,6,2
100,Match Nul,4,2
100,Match Nul,2,2
100,Match Nul,3,2
100,Match Nul,5,2
100,Match Nul,3,2
100,Match Nul,4,2
100,Match Nul,7,2
100,Match Nul,4,2
100,Match Nul,6,2
100,Match Nul,6,2
100,Match Nul,3,2
100,Match Nul,3,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Equipe_2,1,2
100,Match Nul,1,2
100,Match Nul,3,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,1,2
100,Match Nul,2,2
100,Match Nul,2,2
100,Match Nul,1,2

# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_2,98,2
100,Equipe_2,41,2
100,Equipe_2,44,2
100,Equipe_2,79,2
100,Equipe_2,53,2
100,Equipe_2,103,2
100,Equipe_2,56,2
100,Equipe_2,62,2
100,Equipe_2,73,2
100,Equipe_2,86,2
100,Equipe_2,77,2
100,Equipe_2,50,2
100,Equipe_2,60,2
100,Equipe_2,59,2
100,Equipe_2,92,2
100,Equipe_2,111,2
100,Equipe_2,66,2
100,Equipe_2,85,2
100,Equipe_2,18,2
100,Equipe_2,30,2
100,Equipe_2,65,2
100,Equipe_2,32,2
100,Equipe_2,48,2
100,Equipe_2,56,2
100,Equipe_2,46,2
100,Equipe_2,44,2
100,Equipe_2,37,2
100,Equipe_2,23,2
100,Equipe_2,27,2
100,Equipe_2,26,2
100,Equipe_2,17,2
100,Equipe_2,16,2
100,Match Nul,12,2
100,Equipe_2,15,2
100,Equipe_2,16,2
100,Equipe_2,12,2
100,Equipe_2,6,2
100,Equipe_2,5,2
100,Equipe_2,2,2
100,Equipe_2,2,2
100,Equipe_1,1,1
100,Equipe_2,2,2
100,Equipe_2,4,2
100,Equipe_2,1,2
100,Equipe_2,4,2
100,Equipe_2,1,2
100,Equipe_2,1,2
100,Equipe_2,2,2
100,Equipe_2,2,2
100,Equipe_2,1,2

# CONFIG: P10_D3_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Match Nul,50,2
100,Equipe_1,81,2
100,Match Nul,83,2
100,Equipe_1,51,2
100,Equipe_1,91,2
100,Equipe_1,73,2
100,Equipe_1,56,2
100,Equipe_1,60,2
100,Equipe_1,76,2
100,Equipe_1,51,2
100,Match Nul,85,2
100,Equipe_1,55,2
100,Equipe_1,97,2
100,Equipe_1,21,1
100,Equipe_1,112,2
100,Equipe_1,101,2
100,Equipe_1,22,2
100,Equipe_1,49,2
100,Equipe_1,65,2
100,Equipe_1,36,2
100,Equipe_1,63,2
100,Equipe_1,64,2
100,Equipe_1,71,2
100,Equipe_1,77,2
100,Equipe_1,49,2
100,Match Nul,52,2
100,Equipe_1,62,2
100,Equipe_1,64,2
100,Equipe_1,86,2
100,Equipe_1,70,2
100,Equipe_1,40,2
100,Equipe_1,108,3
100,Equipe_1,69,2
100,Match Nul,33,2
100,Equipe_1,60,2
100,Equipe_1,28,2
100,Equipe_1,47,2
100,Equipe_1,64,2
100,Equipe_1,30,2
100,Equipe_1,24,1
100,Equipe_1,47,2
100,Equipe_1,32,2
100,Equipe_1,29,2
100,Equipe_1,28,2
100,Equipe_1,26,2
100,Equipe_1,23,2
100,Equipe_1,2,2
