Nombre d'Equipes = 4
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 200

Parties,T1,T2,T3,T4,Conf %
NbParties,ABS|VoH,MaxN|VoH,PaS|VoH,SOS|VoH,
200,74.0%,9.0%,5.0%,4.5%,±6.06%
20,85.0%,5.0%,0.0%,5.0%,±16.25%
30,73.3%,3.3%,3.3%,6.7%,±15.34%
6,66.7%,0.0%,0.0%,0.0%,±30.59%
Total,74.6%,7.8%,4.3%,4.7%,±5.32%

TailleGrille,EquipeGagnante,TempsMs,NbTours
400,Equipe_1,79500,7
400,Equipe_1,71513,6
400,Equipe_1,92698,5
400,Equipe_1,98359,6
400,Equipe_1,92238,10
400,Equipe_1,157747,4
400,Equipe_1,86287,5
400,Equipe_1,85108,6
400,Match Nul,104922,8
400,Equipe_1,101704,6
400,Equipe_1,71405,5
400,Equipe_4,23060,6
400,Equipe_1,204201,6
400,Equipe_1,190801,7
400,Equipe_1,132429,5
400,Equipe_1,42775,5
400,Equipe_1,209773,5
400,Equipe_1,188801,6
400,Equipe_1,194358,5
400,Equipe_2,163736,12
400,Equipe_1,145022,8
400,Equipe_1,64640,7
400,Equipe_1,147734,5
400,Match Nul,346760,11
400,Equipe_1,142911,6
400,Equipe_1,47450,4
400,Equipe_1,43583,4
400,Equipe_1,352848,8
400,Equipe_1,337137,6
400,Equipe_1,126275,6
400,Equipe_1,261013,5
400,Equipe_1,303961,8
400,Equipe_4,210741,6
400,Match Nul,206225,4
400,Equipe_1,209386,6
400,Equipe_1,464064,9
400,Equipe_1,369152,5
400,Equipe_1,395992,7
400,Match Nul,392243,5
400,Equipe_3,399447,5
400,Match Nul,400082,8
400,Equipe_1,344131,9
400,Match Nul,77997,5
400,Equipe_1,341947,6
400,Equipe_1,222942,6
400,Match Nul,339605,9
400,Equipe_1,338976,7
